,Close,Day,Symbol
2020-10-16 00:00:00,59.59000015258789,2020-10-16 00:00:00,CVS
2020-10-16 00:00:00,229.3699951171875,2020-10-16 00:00:00,MCD
2020-10-16 00:00:00,9.279999732971191,2020-10-16 00:00:00,PBFS
2020-10-16 00:00:00,37.209999084472656,2020-10-16 00:00:00,AFL
2020-10-16 00:00:00,262.54998779296875,2020-10-16 00:00:00,SPOT
2020-10-16 00:00:00,103.31999969482422,2020-10-16 00:00:00,EXAS
2020-10-16 00:00:00,50.029998779296875,2020-10-16 00:00:00,KO
2020-10-16 00:00:00,18.93000030517578,2020-10-16 00:00:00,GLDM
2020-10-16 00:00:00,22.420000076293945,2020-10-16 00:00:00,SLV
2020-10-16 00:00:00,556.5700073242188,2020-10-16 00:00:00,BIO
2020-10-16 00:00:00,20.790000915527344,2020-10-16 00:00:00,KTOS
2020-10-16 00:00:00,287.6600036621094,2020-10-16 00:00:00,HD
2020-10-16 00:00:00,181.47999572753906,2020-10-16 00:00:00,STZ
2020-10-16 00:00:00,110.12999725341797,2020-10-16 00:00:00,MDT
2020-10-16 00:00:00,119.44000244140625,2020-10-16 00:00:00,MAA
2020-10-16 00:00:00,174.86000061035156,2020-10-16 00:00:00,HON
2020-10-16 00:00:00,24.040000915527344,2020-10-16 00:00:00,URBN
2020-10-16 00:00:00,32.59000015258789,2020-10-16 00:00:00,SFIX
2020-10-16 00:00:00,176.3800048828125,2020-10-16 00:00:00,SWK
2020-10-16 00:00:00,193.69000244140625,2020-10-16 00:00:00,HELE
2020-10-16 00:00:00,10.40999984741211,2020-10-16 00:00:00,MIK
2020-10-16 00:00:00,39.290000915527344,2020-10-16 00:00:00,SCHW
2020-10-16 00:00:00,23.040000915527344,2020-10-16 00:00:00,BXMT
2020-10-16 00:00:00,169.4199981689453,2020-10-16 00:00:00,VDC
2020-10-16 00:00:00,169.4199981689453,2020-10-16 00:00:00,IHE
2020-10-16 00:00:00,60.779998779296875,2020-10-16 00:00:00,XLC
2020-10-16 00:00:00,273.1000061035156,2020-10-16 00:00:00,IXN
2020-10-16 00:00:00,8.699999809265137,2020-10-16 00:00:00,QID
2020-10-16 00:00:00,25.290000915527344,2020-10-16 00:00:00,UUP
2020-10-16 00:00:00,18.030000686645508,2020-10-16 00:00:00,DUST
2020-10-16 00:00:00,0.8899999856948853,2020-10-16 00:00:00,CLKA
2020-10-16 00:00:00,168.22000122070312,2020-10-16 00:00:00,TTWO
2020-10-16 00:00:00,45.560001373291016,2020-10-16 00:00:00,CMCSA
2020-10-16 00:00:00,83.16999816894531,2020-10-16 00:00:00,AMD
2020-10-16 00:00:00,19.139999389648438,2020-10-16 00:00:00,MOS
2020-10-16 00:00:00,6.880000114440918,2020-10-16 00:00:00,FTI
2020-10-16 00:00:00,93.41999816894531,2020-10-16 00:00:00,ALB
2020-10-16 00:00:00,39.5099983215332,2020-10-16 00:00:00,PKB
2020-10-16 00:00:00,104.62000274658203,2020-10-16 00:00:00,VOX
2020-10-16 00:00:00,7.679999828338623,2020-10-16 00:00:00,QRTEB
2020-10-16 00:00:00,45.560001373291016,2020-10-16 00:00:00,EEM
2020-10-16 00:00:00,120.62000274658203,2020-10-16 00:00:00,XBI
2020-10-16 00:00:00,46.540000915527344,2020-10-16 00:00:00,IP
2020-10-16 00:00:00,121.12000274658203,2020-10-16 00:00:00,XLK
2020-10-16 00:00:00,107.04000091552734,2020-10-16 00:00:00,NVAX
2020-10-16 00:00:00,265.92999267578125,2020-10-16 00:00:00,FB
2020-10-16 00:00:00,307.30999755859375,2020-10-16 00:00:00,BABA
2020-10-16 00:00:00,80.18000030517578,2020-10-16 00:00:00,FROG
2020-10-16 00:00:00,86.69999694824219,2020-10-16 00:00:00,TSM
2020-10-16 00:00:00,114.95999908447266,2020-10-16 00:00:00,TMUS
2020-10-16 00:00:00,39.68000030517578,2020-10-16 00:00:00,LUV
2020-10-16 00:00:00,17.489999771118164,2020-10-16 00:00:00,JETS
